annotation_id,tank_id,session_id,behaviour,start_time,end_time,duration_seconds,annotator,annotation_source,confidence_or_notes
17,B-3,,Normal,2026-04-23 12:00:00,2026-04-23 12:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
18,B-4,,Normal,2026-04-23 12:00:00,2026-04-23 12:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,LÉGÈERE AGITATION 
19,B-4,,Agitation,2026-04-23 12:00:00,2026-04-23 12:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
20,B-1,,Other,2026-04-23 12:25:00,2026-04-23 12:35:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,SAUT ET FRÉNÉSIE BONNE ALIMENTATION
21,B-1,,Agitation,2026-04-23 12:25:00,2026-04-23 12:35:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
22,B-3,,Normal,2026-04-23 12:25:00,2026-04-23 12:35:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,PAS ALIMENTATION RESTE CALME NE MANGE PAS
23,B-1,,Normal,2026-04-23 13:50:00,2026-04-23 14:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,REGROUPEMENT AU FOND
24,B-1,,Clustering,2026-04-23 13:50:00,2026-04-23 14:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
25,B-2,,Normal,2026-04-23 13:50:00,2026-04-23 14:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,DISPERSÉ AU FOND NOURRITURE EN SURFACE
26,B-3,,Normal,2026-04-23 13:50:00,2026-04-23 14:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,REGROUPÉ AU FOND
27,B-3,,Clustering,2026-04-23 13:50:00,2026-04-23 14:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
28,B-4,,Normal,2026-04-23 13:50:00,2026-04-23 14:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,SAUT POUR 2 POISSONS  P1 NOURRITURE EN SURFACE
29,B-4,,Clustering,2026-04-23 13:50:00,2026-04-23 14:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
30,B-1,,Normal,2026-04-23 14:05:00,2026-04-23 14:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,14:09 P3 CAR ME SUIS APPROCHÉ TROP PRÊT
31,B-1,,Clustering,2026-04-23 14:05:00,2026-04-23 14:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
32,B-2,,Normal,2026-04-23 14:05:00,2026-04-23 14:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
33,B-2,,Clustering,2026-04-23 14:05:00,2026-04-23 14:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
34,B-3,,Normal,2026-04-23 14:05:00,2026-04-23 14:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,POISSON EN FUITE QUAND JE ME SUIS APPROCHÉE
35,B-3,,Clustering,2026-04-23 14:05:00,2026-04-23 14:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
36,B-4,,Normal,2026-04-23 14:05:00,2026-04-23 14:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,SAUF 2 POISSONS SÉPARÉS
37,B-4,,Clustering,2026-04-23 14:05:00,2026-04-23 14:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
38,B-1,,Normal,2026-04-24 08:50:00,2026-04-24 09:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,REGROUPEMENT AU FOND
39,B-2,,Normal,2026-04-24 08:50:00,2026-04-24 09:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,LÉGER EXCITATION  POISSON MALADE 
40,B-2,,Agitation,2026-04-24 08:50:00,2026-04-24 09:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
41,B-3,,Normal,2026-04-24 08:50:00,2026-04-24 09:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,CONCENTRATION POISSON
42,B-3,,Clustering,2026-04-24 08:50:00,2026-04-24 09:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
43,B-4,,Normal,2026-04-24 08:50:00,2026-04-24 09:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,POISSON EN SURFACE
44,B-1,,Normal,2026-04-24 09:05:00,2026-04-24 09:10:00,300,,00118_Acoustique_Poisson_2026-07-27.xlsx,PAS LAIMENTATION
45,B-2,,Agitation,2026-04-24 09:05:00,2026-04-24 09:10:00,300,,00118_Acoustique_Poisson_2026-07-27.xlsx,BONNE ALIMENTATION SAUT EN SURFACE
46,B-2,,Other,2026-04-24 09:05:00,2026-04-24 09:10:00,300,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
47,B-3,,Normal,2026-04-24 09:05:00,2026-04-24 09:10:00,300,,00118_Acoustique_Poisson_2026-07-27.xlsx,PAS DE RÉACTION LÉGER AGITATION
48,B-3,,Agitation,2026-04-24 09:05:00,2026-04-24 09:10:00,300,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
49,B-4,,Normal,2026-04-24 09:05:00,2026-04-24 09:10:00,300,,00118_Acoustique_Poisson_2026-07-27.xlsx,QUELQUES MOUES DE BRASSAGES EN SURFACE MAIS CALME
50,B-4,,Agitation,2026-04-24 09:05:00,2026-04-24 09:10:00,300,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
51,B-1,,Normal,2026-04-26 09:50:00,2026-04-26 10:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,MANQUE DE LUMIÈRE STRESS ET RÉACTIF
52,B-1,,Agitation,2026-04-26 09:50:00,2026-04-26 10:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
53,B-2,,Normal,2026-04-26 09:50:00,2026-04-26 10:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,MANQUE DE LUMIÈRE STRESS ET RÉACTIF
54,B-2,,Agitation,2026-04-26 09:50:00,2026-04-26 10:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
55,B-2,,Other,2026-04-26 09:50:00,2026-04-26 10:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
56,B-3,,Normal,2026-04-26 09:50:00,2026-04-26 10:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,NORMAL
57,B-4,,Normal,2026-04-26 09:50:00,2026-04-26 10:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,AGITATION LÈGÈRE
58,B-1,,Normal,2026-04-26 10:05:00,2026-04-26 10:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,LÈGÈRE ALIMEMNTATION PEU DE FRÉNÉSIE
59,B-2,,Normal,2026-04-26 10:05:00,2026-04-26 10:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,LÉGÈRE ALIMENTATION MONTÉE EN SURFACE DOUCEMENT
60,B-3,,Normal,2026-04-26 10:05:00,2026-04-26 10:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,AUCUNE ALIMENTATION OBSERVER PEU AGITÉ
61,B-4,,Agitation,2026-04-26 10:05:00,2026-04-26 10:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,SAUT EST BONNE ALIMENTATION
62,B-4,,Other,2026-04-26 10:05:00,2026-04-26 10:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
63,B-1,,Normal,2026-04-26 11:30:00,2026-04-26 11:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,POISSON TOUS ENSEMBLE SOUS L'ARRIVÉÉ D'EAU 
64,B-1,,Clustering,2026-04-26 11:30:00,2026-04-26 11:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
65,B-2,,Normal,2026-04-26 11:30:00,2026-04-26 11:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,EN SURFACE
66,B-3,,Normal,2026-04-26 11:30:00,2026-04-26 11:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,EN SURFACE
67,B-4,,Normal,2026-04-26 11:30:00,2026-04-26 11:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,EN SURFACE
68,B-1,,Normal,2026-04-26 11:45:00,2026-04-26 11:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,RÉACTION À LA NOURRITURE MODERE
69,B-1,,Agitation,2026-04-26 11:45:00,2026-04-26 11:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
70,B-2,,Normal,2026-04-26 11:45:00,2026-04-26 11:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,RÉACTION À LA NOURRITURE MODERE B-1 MONTE BIEN EN SURFACE EXCITÉ
71,B-2,,Agitation,2026-04-26 11:45:00,2026-04-26 11:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
72,B-3,,Agitation,2026-04-26 11:45:00,2026-04-26 11:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,MANGE BIEN SONT EXCITÉ
73,B-4,,Agitation,2026-04-26 11:45:00,2026-04-26 11:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,MANGE BIEN FRÉNÉSIE
74,B-1,,Normal,2026-04-26 09:30:00,2026-04-26 09:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
75,B-1,,Clustering,2026-04-26 09:30:00,2026-04-26 09:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
76,B-2,,Normal,2026-04-26 13:10:00,2026-04-26 13:20:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,REGROUPÉ EN SURFACE
77,B-2,,Clustering,2026-04-26 13:10:00,2026-04-26 13:20:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
78,B-2,,Normal,2026-04-26 13:10:00,2026-04-26 13:20:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
79,B-3,,Normal,2026-04-26 13:10:00,2026-04-26 13:20:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
80,B-4,,Normal,2026-04-26 13:10:00,2026-04-26 13:20:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,EN SURFACE
81,B-1,,Agitation,2026-04-26 13:25:00,2026-04-26 13:35:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,MANGE PEUX MAIS AGITÉ
82,B-2,,Agitation,2026-04-26 13:25:00,2026-04-26 13:35:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,MANGE PEU MAIS CALME
83,B-3,,Agitation,2026-04-26 13:25:00,2026-04-26 13:35:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,"AGITÉ, MANGE BIEN"
84,B-3,,Other,2026-04-26 13:25:00,2026-04-26 13:35:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
85,B-4,,Agitation,2026-04-26 13:25:00,2026-04-26 13:35:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,MANGE TRÈS BIEN MONTE EN SURFACE CALMEMENT
86,B-4,,Other,2026-04-26 13:25:00,2026-04-26 13:35:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
87,B-1,,Normal,2026-04-26 14:50:00,2026-04-26 15:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,POISSON CALME
88,B-2,,Normal,2026-04-26 14:50:00,2026-04-26 15:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,CALME
89,B-3,,Normal,2026-04-26 14:50:00,2026-04-26 15:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,CALME EN SURFACE
90,B-4,,Normal,2026-04-26 14:50:00,2026-04-26 15:00:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,CALME EN SURFACE
91,B-1,,Normal,2026-04-26 15:05:00,2026-04-26 15:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,LEGEREMENT EXCITÉ MANGE BIEN
92,B-1,,Agitation,2026-04-26 15:05:00,2026-04-26 15:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
93,B-2,,Normal,2026-04-26 15:05:00,2026-04-26 15:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,MANGE BIEN CALME
94,B-2,,Agitation,2026-04-26 15:05:00,2026-04-26 15:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
95,B-3,,Normal,2026-04-26 15:05:00,2026-04-26 15:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,CALME PEU DE NOURRITURE TOMBE DANS LE BASSIN
96,B-4,,Normal,2026-04-26 15:05:00,2026-04-26 15:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,MANGE BIEN CALME
97,B-4,,Agitation,2026-04-26 15:05:00,2026-04-26 15:15:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
98,B-1,,Normal,2026-05-01 09:30:00,2026-05-01 09:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,CALME AU FOND
99,B-1,,Clustering,2026-05-01 09:30:00,2026-05-01 09:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
100,B-2,,Normal,2026-05-01 09:30:00,2026-05-01 09:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,CALME AU FOND
101,B-2,,Clustering,2026-05-01 09:30:00,2026-05-01 09:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
102,B-3,,Normal,2026-05-01 09:30:00,2026-05-01 09:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,REGROUPÉS AU FOND SAUF 2
103,B-3,,Clustering,2026-05-01 09:30:00,2026-05-01 09:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
104,B-4,,Normal,2026-05-01 09:30:00,2026-05-01 09:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,REGROUPÉSSAUF 3 DONT 1 SE FROTTE SUR LE FOND 1 NAGE PLUS RAPIDEMENT À MON APPROCHE C'EST UNE FEMELLE
105,B-4,,Clustering,2026-05-01 09:30:00,2026-05-01 09:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
106,B-1,,Normal,2026-05-01 09:45:00,2026-05-01 09:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,SAUF QUELQUES UN QUI NAGENT SÉPAREMENT
107,B-1,,Clustering,2026-05-01 09:45:00,2026-05-01 09:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
108,B-2,,Normal,2026-05-01 09:45:00,2026-05-01 09:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,SAUF QUELQUES UN QUI NAGENT SÉPAREMENT
109,B-3,,Normal,2026-05-01 09:45:00,2026-05-01 09:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,P2 PARFOIS POUR CERTAIN INDIVIDUS
110,B-4,,Normal,2026-05-01 09:45:00,2026-05-01 09:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,"FEMELLE P3 SE FROTTE NAGE SUR LE CÔTÉ, NAGE STATIQUE REGROUPÉS"
111,B-4,,Clustering,2026-05-01 09:45:00,2026-05-01 09:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
112,B-1,,Clustering,2026-05-01 11:00:00,2026-05-01 11:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,"SAUF 3 QUI SONT DISPERSÉS, NAGE RÉGULIREMENT STATIQUE"
113,B-2,,Clustering,2026-05-01 11:00:00,2026-05-01 11:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,SAUF 3 DISPERSÉS DANS LE BASSIN NAGE REGULIEREMENT STATIQUES
114,B-3,,Normal,2026-05-01 11:00:00,2026-05-01 11:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,11:02P3 CAR ON EU PEUR DE MOI
115,B-4,,Clustering,2026-05-01 11:00:00,2026-05-01 11:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,DSAUF 2 POISSONS NAGE DISPERSÉS ET FEMELLE SE FROTTE
116,B-4,,Agitation,2026-05-01 11:00:00,2026-05-01 11:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,ON EU PEUR DE MOI 
117,B-1,,Clustering,2026-05-01 11:15:00,2026-05-01 11:25:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,NAGE STATIQUE GROUPÉS ET 2 NAGENT SÉPAREMENT 
118,B-2,,Clustering,2026-05-01 11:15:00,2026-05-01 11:25:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,NAGE STATIQUES SONT DISPERSÉS DANS LE BASSIN
119,B-3,,Clustering,2026-05-01 11:15:00,2026-05-01 11:25:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,"SAUF 2 NAGENT SÉPAREMENT DU GROUPE, 11:19 : P3  = POISSONS AGITÉS, CAR ILS M'ONT VUE"
120,B-4,,Clustering,2026-05-01 11:15:00,2026-05-01 11:25:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,FEMELLE NAGE EN SE FROTTANT AU FOND
121,nan,,Clustering,2026-05-01 12:30:00,2026-05-01 12:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,3 POISSONS NAGENT STATIQUES MAIS SÉPAREMENT DU GROUPE
122,B-1,,Normal,2026-05-01 12:30:00,2026-05-01 12:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,NAGE STATIQUE SAUF 1 QUI NAGE PLUS ACTIVEMENT DE TEMPS EN TEMPS
123,B-2,,Normal,2026-05-01 12:30:00,2026-05-01 12:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,12:33 P3 CAR ONT EU PEUR DE MOI P2 POUR UNE PARTIE DU GROUPE
124,B-3,,Normal,2026-05-01 12:30:00,2026-05-01 12:40:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,SAUF POUR LA FEMELLE QUI TOURNE SUR ELLE-MÊME EN NAGEANT
125,B-4,,Normal,2026-05-01 14:15:00,2026-05-01 14:25:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,2 NAGENT STATIQUE SÉPAREMENT  DU RESTE DU GROUPE LES AUTRES SONT GROUPÉS NAGENT STATIQUES ET FEMELLE NAGENT EN SE FROTTANT
126,B-1,,Normal,2026-05-01 12:45:00,2026-05-01 12:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
127,B-2,,Normal,2026-05-01 12:45:00,2026-05-01 12:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,NAGE UN PEU PLUS ACTIVEMENT ET ÉCLOUBOUSSURES 12:47
128,B-3,,Normal,2026-05-01 12:45:00,2026-05-01 12:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,P3 À 12:49 POUR 2 POISSONSCAR ON EU PEUR
129,B-4,,Normal,2026-05-01 12:45:00,2026-05-01 12:55:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,SAUF POUR LA FEMELLE  P3 CAR SE FROTTE ENCORE
130,B-1,,Normal,2026-05-01 14:00:00,2026-05-01 14:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,14:09 P2 POUR CERATIN INDIVIDUS
131,B-2,,Normal,2026-05-01 14:00:00,2026-05-01 14:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,"14:07 NAGE UN PEU PLUS ACTIVE DANS LE BASSIN 2, DE CERTAIN INDIVIDUS"
132,B-3,,Normal,2026-05-01 14:00:00,2026-05-01 14:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
133,B-4,,Normal,2026-05-01 14:00:00,2026-05-01 14:10:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,P3 POUR LA FEMELLE QUI AVANCE EN TOURNANTET SE FROTTANT DÉSORIENTATION
134,B-1,,Normal,2026-05-01 14:15:00,2026-05-01 14:25:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,"SAUF CERTAIN INDIVIDUS SONT ACTIFS EN SURFACE MANGE ENCORE, 14:24 P2 POUR CERTAIN INDIVIDUS DU BASSIN, REDROUPÉS ENSEMBLES"
135,B-2,,Normal,2026-05-01 14:15:00,2026-05-01 14:25:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
136,B-3,,Normal,2026-05-01 14:15:00,2026-05-01 14:25:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,14:19 P3 D'UN INDIVIDU QUI A EU PEUR DE MOI
137,B-4,,Normal,2026-05-01 14:15:00,2026-05-01 14:25:00,600,,00118_Acoustique_Poisson_2026-07-27.xlsx,SAUF POUR LA FEMELLE QUI TOURNE SUR ELLE-MÊME EN NAGEANT
138,B-1,,Normal,2026-05-09 08:50:00,2026-05-09 08:52:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
139,B-1,,Clustering,2026-05-09 08:50:00,2026-05-09 08:52:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,REGROUPEMENT 4 INDIVIDUS
140,B-2,,Normal,2026-05-09 08:53:00,2026-05-09 08:55:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
141,B-3,,Clustering,2026-05-09 08:55:00,2026-05-09 08:57:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,REGROUPEMENT DES INDIVIDUS
142,B-3,,Other,2026-05-09 08:55:00,2026-05-09 08:57:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,INDIVIDUS SAUT
143,B-3,,Agitation,2026-05-09 08:55:00,2026-05-09 08:57:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,1 INDIVIDUS AGITÉ NAGE RAPIDEMENT 
144,B-1,,Normal,2026-05-09 08:57:00,2026-05-09 08:59:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
145,B-2,,Agitation,2026-05-09 08:57:00,2026-05-09 08:59:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,2 INDIVIDUS AGITÉS
146,B-3,,Other,2026-05-09 08:57:00,2026-05-09 08:59:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,1 INDIVIDU LÉTHARGIQUE
147,B-4,,Normal,2026-05-09 08:57:00,2026-05-09 08:59:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
148,B-1,,Other,2026-05-09 09:07:00,2026-05-09 09:09:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,PEU DE MOUVEMENT
149,B-2,,Normal,2026-05-09 09:07:00,2026-05-09 09:09:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
150,B-3,,Normal,2026-05-09 09:10:00,2026-05-09 09:12:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
151,B-4,,Normal,2026-05-09 10:20:00,2026-05-09 10:22:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
152,B-4,,Clustering,2026-05-09 10:20:00,2026-05-09 10:22:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,2 INDIVIDUS REGROUPÉS
153,B-1,,Normal,2026-05-09 10:20:00,2026-05-09 10:22:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
154,B-1,,Clustering,2026-05-09 10:20:00,2026-05-09 10:22:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,2 INDIVIDUS REGROUPÉS
155,B-2,,Agitation,2026-05-09 10:22:00,2026-05-09 10:24:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,AGITATION
156,B-3,,Clustering,2026-05-09 10:24:00,2026-05-09 10:26:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,REGROUPEMENT 4 INDIVIDUS
157,B-3,,Other,2026-05-09 10:24:00,2026-05-09 10:26:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,LÉTARGIQUE
158,B-4,,Clustering,2026-05-09 10:26:00,2026-05-09 10:28:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,REGOUPEMENT
159,B-4,,Agitation,2026-05-09 10:26:00,2026-05-09 10:28:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,1 INDIVIDU AGITÉ
160,B-4,,Other,2026-05-09 10:26:00,2026-05-09 10:28:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,LÉTARGIQUE
161,B-1,,Normal,2026-05-09 10:37:00,2026-05-09 10:39:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
162,B-2,,Clustering,2026-05-09 10:39:00,2026-05-09 10:41:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,TOUS REGROUPÉS DANS 1 COIN
163,B-3,,Other,2026-05-09 10:41:00,2026-05-09 10:43:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,PAS DE MOUVEMENT
164,B-4,,Clustering,2026-05-09 10:43:00,2026-05-09 10:45:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,2 INDIVIDUS REGROUPÉS
165,B-4,,Other,2026-05-09 10:43:00,2026-05-09 10:45:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
166,B-1,,Normal,2026-05-09 11:50:00,2026-05-09 11:52:00,120,,00118_Acoustique_Poisson_2026-07-27.xlsx,nan
